symbol	sector
MMM	Industrials
ABT	Health Care
ABBV	Health Care
ACN	Information Technology
ATVI	Information Technology
AYI	Industrials
ADBE	Information Technology
AAP	Consumer Discretionary
AES	Utilities
AET	Health Care
AMG	Financials
AFL	Financials
A	Health Care
APD	Materials
AKAM	Information Technology
ALK	Industrials
ALB	Materials
ALXN	Health Care
ALLE	Industrials
AGN	Health Care
ADS	Information Technology
LNT	Utilities
ALL	Financials
GOOGL	Information Technology
GOOG	Information Technology
MO	Consumer Staples
AMZN	Consumer Discretionary
AEE	Utilities
AAL	Industrials
AEP	Utilities
AXP	Financials
AIG	Financials
AMT	Real Estate
AWK	Utilities
AMP	Financials
ABC	Health Care
AME	Industrials
AMGN	Health Care
APH	Information Technology
APC	Energy
ADI	Information Technology
ANTM	Health Care
AON	Financials
APA	Energy
AIV	Real Estate
AAPL	Information Technology
AMAT	Information Technology
ADM	Consumer Staples
ARNC	Industrials
AJG	Financials
AIZ	Financials
T	Telecommunications Services
ADSK	Information Technology
ADP	Information Technology
AN	Consumer Discretionary
AZO	Consumer Discretionary
AVB	Real Estate
AVY	Materials
BHI	Energy
BLL	Materials
BAC	Financials
BCR	Health Care
BAX	Health Care
BBT	Financials
BDX	Health Care
BBBY	Consumer Discretionary
BRK.B	Financials
BBY	Consumer Discretionary
BIIB	Health Care
BLK	Financials
HRB	Financials
BA	Industrials
BWA	Consumer Discretionary
BXP	Real Estate
BSX	Health Care
BMY	Health Care
AVGO	Information Technology
BF.B	Consumer Staples
CHRW	Industrials
CA	Information Technology
COG	Energy
CPB	Consumer Staples
COF	Financials
CAH	Health Care
KMX	Consumer Discretionary
CCL	Consumer Discretionary
CAT	Industrials
CBOE	Financials
CBG	Real Estate
CBS	Consumer Discretionary
CELG	Health Care
CNC	Health Care
CNP	Utilities
CTL	Telecommunications Services
CERN	Health Care
CF	Materials
SCHW	Financials
CHTR	Consumer Discretionary
CHK	Energy
CVX	Energy
